player_id,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,saves,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,was_home,opponent_team,fixture
1,1,90,10,0,0,1,0,3,38,7,49.2,0.0,0.0,4.9,0.0,0.0,0.0,1.52,55,False,14,9
1,2,90,6,0,0,1,0,0,28,1,13.4,0.0,0.0,1.3,0.0,0.0,0.0,0.17,55,True,11,11
1,3,90,2,0,0,0,1,0,12,2,20.0,10.0,0.0,3.0,0.0,0.02,0.02,0.52,55,False,12,25
1,4,90,6,0,0,1,0,0,24,1,12.8,0.0,0.0,1.3,0.0,0.0,0.0,0.2,55,True,16,31
1,5,90,2,0,0,0,1,0,13,2,21.4,0.0,0.0,2.1,0.0,0.01,0.01,0.89,55,True,13,41
1,6,90,2,0,0,0,1,0,11,2,15.8,0.0,0.0,1.6,0.0,0.01,0.01,0.61,56,False,15,58
1,7,90,6,0,0,1,0,0,20,0,3.2,0.0,0.0,0.3,0.0,0.0,0.0,0.49,56,True,19,61
1,8,90,6,0,0,1,0,0,21,0,4.6,0.0,0.0,0.5,0.0,0.0,0.0,0.44,57,False,10,74
1,9,90,6,0,0,1,0,0,25,1,15.0,0.1,0.0,1.5,0.0,0.0,0.0,0.47,57,True,8,81
1,10,90,6,0,0,1,0,0,20,0,2.8,0.1,0.0,0.3,0.0,0.0,0.0,0.42,58,False,3,92
1,11,90,1,0,0,0,2,0,-2,0,1.6,0.0,0.0,0.2,0.0,0.0,0.0,0.44,59,False,17,108
1,12,90,2,0,0,0,1,0,6,1,6.6,0.0,0.0,0.7,0.0,0.0,0.0,0.07,59,True,18,111
1,13,90,3,0,0,0,1,0,12,3,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.79,59,False,7,123
1,14,90,6,0,0,1,0,0,26,1,15.0,0.0,0.0,1.5,0.0,0.0,0.0,0.35,59,True,5,131
1,15,90,2,0,0,0,2,0,13,4,35.2,0.0,0.0,3.5,0.0,0.0,0.0,2.16,59,False,2,141
1,16,90,2,0,0,0,1,0,8,1,13.6,0.1,0.0,1.4,0.0,0.0,0.0,0.38,60,True,20,151
1,17,90,7,0,0,1,0,1,28,1,16.6,0.0,0.0,1.7,0.0,0.0,0.0,0.2,60,False,9,164
1,18,90,2,0,0,0,1,0,11,2,21.8,10.0,0.0,3.2,0.0,0.0,0.0,0.85,60,True,6,171
1,19,90,2,0,0,0,1,0,12,2,20.0,0.0,0.0,2.0,0.0,0.0,0.0,2.67,60,True,2,181
1,20,90,1,0,0,0,2,0,3,1,7.2,0.0,0.0,0.7,0.0,0.0,0.0,1.43,60,False,4,192
1,21,90,6,0,0,1,0,0,19,0,4.4,0.0,0.0,0.4,0.0,0.0,0.0,0.36,60,True,12,201
1,22,90,6,0,0,1,0,0,23,0,6.2,0.0,0.0,0.6,0.0,0.0,0.0,0.34,59,False,16,217
1,23,90,1,0,0,0,3,0,-3,0,4.8,0.0,0.0,0.5,0.0,0.01,0.01,0.71,59,True,14,221
1,24,90,6,0,0,1,0,0,24,1,9.6,0.0,0.0,1.0,0.0,0.0,0.0,0.15,59,False,11,234
1,25,90,7,0,0,1,0,1,30,2,21.6,10.1,0.0,3.2,0.0,0.0,0.0,0.19,59,True,17,241
1,26,90,2,0,0,0,1,0,11,2,19.8,0.0,0.0,2.0,0.0,0.0,0.0,1.34,59,False,5,252
1,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,False,20,310
