season,name,position,GW,minutes,total_points,expected_goals,expected_assists,clean_sheets,saves,bps,value,team_difficulty,opponent_difficulty,target_next_gw
22-23,Aaron Hickey,DEF,1.0,83,1,0.0,0.0,0,0.0,8,50,3,3,6.0
22-23,Aaron Hickey,DEF,2.0,79,6,0.0,0.0,1,0.0,19,50,3,3,0.0
22-23,Aaron Hickey,DEF,3.0,59,0,0.0,0.0,0,0.0,3,50,2,3,1.0
22-23,Aaron Hickey,DEF,4.0,90,1,0.0,0.0,0,0.0,10,50,2,3,1.0
22-23,Aaron Hickey,DEF,5.0,78,1,0.0,0.0,0,0.0,17,50,2,3,0.0
22-23,Aaron Hickey,DEF,6.0,90,0,0.0,0.0,0,0.0,7,50,2,3,1.0
22-23,Aaron Hickey,DEF,8.0,90,1,0.0,0.0,0,0.0,14,50,4,3,0.0
22-23,Aaron Hickey,DEF,9.0,29,0,0.0,0.0,0,0.0,-2,50,2,3,3.0
22-23,Aaron Hickey,DEF,10.0,82,3,0.0,0.0,0,0.0,14,50,4,3,0.0
22-23,Aaron Hickey,DEF,22.0,60,6,0.03,0.01,1,0.0,19,49,2,3,0.0
22-23,Aaron Hickey,DEF,24.0,75,2,0.03,0.01,0,0.0,13,49,2,3,5.0
22-23,Aaron Hickey,DEF,26.0,90,5,0.02,0.01,0,0.0,18,49,2,3,2.0
22-23,Aaron Hickey,DEF,27.0,73,2,0.0,0.19,0,0.0,16,49,2,3,5.0
22-23,Aaron Hickey,DEF,27.0,90,5,0.0,0.0,1,0.0,15,49,2,3,4.0
22-23,Aaron Hickey,DEF,28.0,90,4,0.0,0.04,0,0.0,23,49,3,3,0.0
22-23,Aaron Hickey,DEF,29.0,90,0,0.0,0.0,0,0.0,0,49,3,3,1.0
22-23,Aaron Hickey,DEF,29.0,15,1,0.02,0.01,0,0.0,2,49,4,3,1.0
22-23,Aaron Hickey,DEF,30.0,73,1,0.0,0.0,0,0.0,11,49,3,3,1.0
22-23,Aaron Hickey,DEF,31.0,73,1,0.0,0.0,0,0.0,9,49,2,3,2.0
22-23,Aaron Hickey,DEF,32.0,90,2,0.12,0.0,0,0.0,6,49,2,3,1.0
22-23,Aaron Hickey,DEF,33.0,1,1,0.0,0.0,0,0.0,3,49,4,3,2.0
22-23,Aaron Hickey,DEF,34.0,90,2,0.02,0.07,0,0.0,14,49,2,3,2.0
22-23,Aaron Hickey,DEF,35.0,87,2,0.0,0.01,0,0.0,5,49,4,3,5.0
22-23,Aaron Hickey,DEF,36.0,84,5,0.07,0.03,1,0.0,23,49,2,3,5.0
22-23,Aaron Hickey,DEF,37.0,88,5,0.0,0.06,0,0.0,23,49,4,3,6.0
22-23,Aaron Ramsdale,GK,1.0,90,6,0.0,0.0,1,2.0,25,50,2,4,1.0
22-23,Aaron Ramsdale,GK,2.0,90,1,0.0,0.0,0,1.0,10,50,3,4,6.0
22-23,Aaron Ramsdale,GK,3.0,90,6,0.0,0.0,1,1.0,20,50,2,4,2.0
22-23,Aaron Ramsdale,GK,4.0,90,2,0.0,0.0,0,2.0,12,50,2,4,2.0
22-23,Aaron Ramsdale,GK,5.0,90,2,0.0,0.0,0,2.0,13,50,2,4,2.0
22-23,Aaron Ramsdale,GK,6.0,90,2,0.0,0.0,0,3.0,14,50,4,4,6.0
22-23,Aaron Ramsdale,GK,8.0,90,6,0.0,0.0,1,2.0,24,49,3,4,2.0
22-23,Aaron Ramsdale,GK,9.0,90,2,0.0,0.0,0,2.0,12,49,3,4,1.0
22-23,Aaron Ramsdale,GK,10.0,90,1,0.0,0.0,0,2.0,15,49,4,4,10.0
22-23,Aaron Ramsdale,GK,11.0,90,10,0.0,0.0,1,4.0,32,49,2,4,2.0
22-23,Aaron Ramsdale,GK,13.0,90,2,0.0,0.0,0,2.0,12,49,2,4,6.0
22-23,Aaron Ramsdale,GK,14.0,90,6,0.0,0.0,1,2.0,24,49,2,4,6.0
22-23,Aaron Ramsdale,GK,15.0,90,6,0.0,0.0,1,1.0,21,49,4,4,6.0
22-23,Aaron Ramsdale,GK,16.0,90,6,0.0,0.00014,1,2.0,24,49,2,4,3.0
22-23,Aaron Ramsdale,GK,17.0,90,3,0.0,0.01222,0,3.0,14,49,2,4,2.0
22-23,Aaron Ramsdale,GK,18.0,90,2,0.0,0.00053,0,3.0,15,49,3,4,6.0
22-23,Aaron Ramsdale,GK,19.0,90,6,0.0,0.00165,1,1.0,22,49,3,4,11.0
22-23,Aaron Ramsdale,GK,20.0,90,11,0.0,0.00044,1,7.0,36,49,4,4,1.0
22-23,Aaron Ramsdale,GK,21.0,90,1,0.0,0.00121,0,2.0,8,49,3,4,3.0
22-23,Aaron Ramsdale,GK,22.0,90,3,0.0,0.0,0,3.0,14,49,2,4,2.0
22-23,Aaron Ramsdale,GK,23.0,90,2,0.0,0.0,0,1.0,10,49,3,4,1.0
22-23,Aaron Ramsdale,GK,23.0,90,1,0.0,0.0,0,2.0,15,49,5,4,2.0
22-23,Aaron Ramsdale,GK,24.0,90,2,0.0,0.0,0,3.0,14,49,2,4,6.0
22-23,Aaron Ramsdale,GK,25.0,90,6,0.0,0.0,1,0.0,20,49,3,4,7.0
22-23,Aaron Ramsdale,GK,25.0,90,7,0.0,0.0,1,5.0,30,49,2,4,1.0
22-23,Aaron Ramsdale,GK,26.0,90,1,0.0,0.0,0,2.0,12,49,2,4,6.0
22-23,Aaron Ramsdale,GK,27.0,90,6,0.0,0.0,1,2.0,24,49,2,4,3.0
22-23,Aaron Ramsdale,GK,28.0,90,3,0.0,0.0,0,3.0,13,49,2,4,3.0
22-23,Aaron Ramsdale,GK,29.0,90,3,0.0,0.0,0,4.0,15,49,2,4,1.0
22-23,Aaron Ramsdale,GK,30.0,90,1,0.0,0.0,0,4.0,12,49,4,4,1.0
22-23,Aaron Ramsdale,GK,31.0,90,1,0.0,0.0,0,1.0,13,49,3,4,2.0
22-23,Aaron Ramsdale,GK,32.0,90,2,0.0,0.0,0,3.0,11,49,2,4,1.0
22-23,Aaron Ramsdale,GK,33.0,90,1,0.0,0.0,0,5.0,18,49,5,4,3.0
22-23,Aaron Ramsdale,GK,34.0,90,3,0.0,0.0,0,3.0,15,48,3,4,10.0
22-23,Aaron Ramsdale,GK,35.0,90,10,0.0,0.0,1,5.0,32,48,4,4,2.0
22-23,Aaron Ramsdale,GK,36.0,90,2,0.0,0.0,0,3.0,14,48,3,4,2.0
22-23,Aaron Ramsdale,GK,37.0,90,2,0.0,0.0,0,1.0,11,48,2,4,6.0
22-23,Aaron Wan-Bissaka,DEF,3.0,4,1,0.0,0.0,0,0.0,4,44,4,4,0.0
22-23,Aaron Wan-Bissaka,DEF,17.0,90,6,0.0,0.1146,1,0.0,25,43,2,4,9.0
22-23,Aaron Wan-Bissaka,DEF,18.0,90,9,0.0,0.05172,1,0.0,29,43,2,3,6.0
22-23,Aaron Wan-Bissaka,DEF,19.0,68,6,0.0,0.01766,1,0.0,22,43,2,4,2.0
22-23,Aaron Wan-Bissaka,DEF,20.0,90,2,0.0357,0.01203,0,0.0,15,43,5,4,2.0
22-23,Aaron Wan-Bissaka,DEF,20.0,90,2,0.0,0.0992,0,0.0,17,43,2,3,1.0
22-23,Aaron Wan-Bissaka,DEF,21.0,90,1,0.0,0.0046,0,0.0,9,43,4,3,2.0
22-23,Aaron Wan-Bissaka,DEF,22.0,86,2,0.0,0.03,0,0.0,17,43,2,4,0.0
22-23,Aaron Wan-Bissaka,DEF,23.0,17,1,0.0,0.0,0,0.0,4,43,2,3,1.0
22-23,Aaron Wan-Bissaka,DEF,24.0,21,1,0.0,0.18,0,0.0,7,43,3,4,0.0
22-23,Aaron Wan-Bissaka,DEF,27.0,90,6,0.03,0.01,1,0.0,23,43,2,4,0.0
22-23,Aaron Wan-Bissaka,DEF,30.0,90,6,0.75,0.18,1,0.0,24,43,2,4,6.0
22-23,Aaron Wan-Bissaka,DEF,31.0,90,6,0.06,0.06,1,0.0,26,43,2,3,1.0
22-23,Aaron Wan-Bissaka,DEF,33.0,70,1,0.07,0.0,0,0.0,6,43,4,3,0.0
22-23,Aaron Wan-Bissaka,DEF,34.0,90,2,0.07,0.02,0,0.0,12,43,3,3,1.0
22-23,Aaron Wan-Bissaka,DEF,35.0,86,1,0.0,0.06,0,0.0,10,43,3,3,6.0
22-23,Aaron Wan-Bissaka,DEF,36.0,90,6,0.0,0.03,1,0.0,24,43,2,4,6.0
22-23,Aaron Wan-Bissaka,DEF,37.0,90,6,0.07,0.04,1,0.0,21,43,2,3,2.0
22-23,Aaron Wan-Bissaka,DEF,37.0,90,2,0.1,0.01,0,0.0,13,43,3,4,0.0
22-23,Adam Armstrong,FWD,1.0,45,1,0.0,0.0,0,0.0,0,55,4,2,4.0
22-23,Adam Armstrong,FWD,2.0,29,4,0.0,0.0,0,0.0,15,55,2,2,2.0
22-23,Adam Armstrong,FWD,3.0,69,2,0.0,0.0,0,0.0,5,55,3,2,2.0
22-23,Adam Armstrong,FWD,4.0,76,2,0.0,0.0,0,0.0,8,55,3,2,9.0
22-23,Adam Armstrong,FWD,5.0,85,9,0.0,0.0,0,0.0,34,55,3,2,2.0
22-23,Adam Armstrong,FWD,6.0,82,2,0.0,0.0,0,0.0,1,55,2,2,2.0
22-23,Adam Armstrong,FWD,8.0,70,2,0.0,0.0,0,0.0,4,55,2,2,1.0
22-23,Adam Armstrong,FWD,9.0,30,1,0.0,0.0,0,0.0,2,55,2,2,2.0
22-23,Adam Armstrong,FWD,10.0,65,2,0.0,0.0,0,0.0,4,55,5,2,2.0
22-23,Adam Armstrong,FWD,11.0,73,2,0.0,0.0,0,0.0,5,55,2,2,2.0
22-23,Adam Armstrong,FWD,12.0,87,2,0.0,0.0,1,0.0,8,55,2,2,2.0
22-23,Adam Armstrong,FWD,13.0,72,2,0.0,0.0,0,0.0,5,55,4,2,0.0
22-23,Adam Armstrong,FWD,15.0,26,1,0.0,0.0,0,0.0,6,55,3,2,1.0
22-23,Adam Armstrong,FWD,16.0,58,1,0.1566,0.0049,0,0.0,0,55,4,2,1.0
22-23,Adam Armstrong,FWD,17.0,6,1,0.0,0.0,0,0.0,2,55,3,2,1.0
22-23,Adam Armstrong,FWD,18.0,1,1,0.0,2e-05,0,0.0,2,55,2,2,1.0
22-23,Adam Armstrong,FWD,19.0,26,1,0.0,0.00672,0,0.0,3,55,2,2,1.0
22-23,Adam Armstrong,FWD,20.0,29,1,0.0537,0.0131,0,0.0,4,55,2,2,2.0
22-23,Adam Armstrong,FWD,21.0,83,2,0.3052,0.00201,0,0.0,3,54,2,2,1.0
22-23,Adam Armstrong,FWD,22.0,9,1,0.02,0.0,0,0.0,3,54,3,2,0.0
22-23,Adam Armstrong,FWD,24.0,31,1,0.34,0.03,0,0.0,3,54,4,2,1.0
22-23,Adam Armstrong,FWD,25.0,8,1,0.0,0.0,0,0.0,1,54,2,2,0.0
22-23,Adam Armstrong,FWD,26.0,27,0,0.0,0.0,0,0.0,-5,54,3,2,1.0
22-23,Adam Armstrong,FWD,27.0,14,1,0.0,0.0,0,0.0,2,54,4,2,0.0
22-23,Adam Armstrong,FWD,32.0,76,1,0.0,0.0,0,0.0,3,53,4,2,2.0
22-23,Adam Armstrong,FWD,33.0,75,2,0.19,0.02,0,0.0,5,53,2,2,1.0
22-23,Adam Armstrong,FWD,34.0,20,1,0.0,0.0,0,0.0,2,53,4,2,1.0
22-23,Adam Armstrong,FWD,35.0,14,1,0.1,0.0,0,0.0,8,53,2,2,1.0
22-23,Adam Armstrong,FWD,36.0,8,1,0.0,0.0,0,0.0,3,53,2,2,0.0
22-23,Adam Smith,DEF,1.0,90,5,0.0,0.0,1,0.0,13,45,2,2,-1.0
22-23,Adam Smith,DEF,2.0,90,-1,0.0,0.0,0,0.0,5,45,5,2,0.0
22-23,Adam Smith,DEF,3.0,90,0,0.0,0.0,0,0.0,13,45,4,2,-2.0
22-23,Adam Smith,DEF,4.0,45,-2,0.0,0.0,0,0.0,-1,44,4,2,6.0
22-23,Adam Smith,DEF,5.0,90,6,0.0,0.0,1,0.0,21,44,2,2,1.0
22-23,Adam Smith,DEF,6.0,90,1,0.0,0.0,0,0.0,12,44,2,2,2.0
22-23,Adam Smith,DEF,8.0,90,2,0.0,0.0,0,0.0,7,44,4,2,8.0
22-23,Adam Smith,DEF,9.0,90,8,0.0,0.0,1,0.0,30,44,3,2,2.0
22-23,Adam Smith,DEF,10.0,90,2,0.0,0.0,0,0.0,14,44,3,2,1.0
22-23,Adam Smith,DEF,11.0,90,1,0.0,0.0,0,0.0,7,44,2,2,2.0
22-23,Adam Smith,DEF,12.0,90,2,0.0,0.0,0,0.0,17,44,2,2,1.0
22-23,Adam Smith,DEF,13.0,90,1,0.0,0.0,0,0.0,12,44,3,2,5.0
22-23,Adam Smith,DEF,14.0,90,5,0.0,0.0,0,0.0,23,44,3,2,0.0
22-23,Adam Smith,DEF,15.0,90,0,0.0,0.0,0,0.0,9,44,2,2,8.0
22-23,Adam Smith,DEF,16.0,90,8,0.0,0.04076,1,0.0,28,44,2,2,1.0
22-23,Adam Smith,DEF,17.0,90,1,0.0,0.00828,0,0.0,8,44,4,2,1.0
22-23,Adam Smith,DEF,18.0,90,1,0.0,0.03284,0,0.0,11,44,2,2,0.0
22-23,Adam Smith,DEF,19.0,62,0,0.0,0.07916,0,0.0,5,44,4,2,0.0
22-23,Adam Smith,DEF,21.0,90,2,0.0,0.00876,0,0.0,9,44,2,2,1.0
22-23,Adam Smith,DEF,22.0,90,1,0.0,0.0,0,0.0,3,44,3,2,1.0
22-23,Adam Smith,DEF,23.0,78,1,0.0,0.0,0,0.0,1,43,3,2,5.0
22-23,Adam Smith,DEF,24.0,90,5,0.0,0.01,1,0.0,15,43,2,2,-1.0
22-23,Adam Smith,DEF,25.0,58,-1,0.05,0.0,0,0.0,4,43,5,2,1.0
22-23,Adam Smith,DEF,26.0,90,1,0.0,0.0,0,0.0,10,43,4,2,6.0
22-23,Adam Smith,DEF,27.0,79,6,0.0,0.02,1,0.0,18,43,4,2,2.0
22-23,Adam Smith,DEF,28.0,78,2,0.0,0.09,0,0.0,11,43,2,2,2.0
22-23,Adam Smith,DEF,29.0,90,2,0.0,0.01,0,0.0,3,43,2,2,1.0
22-23,Adam Smith,DEF,29.0,90,1,0.0,0.0,0,0.0,6,43,3,2,5.0
22-23,Adam Smith,DEF,30.0,90,5,0.04,0.02,1,0.0,20,43,3,2,1.0
22-23,Adam Smith,DEF,31.0,41,1,0.0,0.0,0,0.0,4,43,4,2,1.0
22-23,Adam Smith,DEF,32.0,60,1,0.0,0.04,0,0.0,10,43,2,2,1.0
22-23,Adam Smith,DEF,33.0,12,1,0.0,0.0,0,0.0,4,43,2,2,1.0
22-23,Adam Smith,DEF,34.0,90,1,0.0,0.23,0,0.0,14,43,2,2,1.0
22-23,Adam Smith,DEF,35.0,90,1,0.0,0.01,0,0.0,9,43,3,2,1.0
22-23,Adam Smith,DEF,36.0,30,1,0.0,0.0,0,0.0,3,43,2,2,2.0
22-23,Adam Smith,DEF,37.0,65,2,0.0,0.14,0,0.0,11,43,3,2,1.0
22-23,Adam Webster,DEF,1.0,90,2,0.0,0.0,0,0.0,12,45,4,3,6.0
22-23,Adam Webster,DEF,2.0,90,6,0.0,0.0,1,0.0,19,45,3,3,6.0
22-23,Adam Webster,DEF,3.0,90,6,0.0,0.0,1,0.0,22,45,3,3,5.0
22-23,Adam Webster,DEF,4.0,90,5,0.0,0.0,1,0.0,17,45,2,3,1.0
22-23,Adam Webster,DEF,5.0,90,1,0.0,0.0,0,0.0,12,45,2,3,1.0
22-23,Adam Webster,DEF,6.0,90,1,0.0,0.0,0,0.0,11,45,3,3,-1.0
22-23,Adam Webster,DEF,9.0,90,-1,0.0,0.0,0,0.0,13,45,4,3,2.0
22-23,Adam Webster,DEF,10.0,90,2,0.0,0.0,0,0.0,21,45,3,3,1.0
22-23,Adam Webster,DEF,11.0,90,1,0.0,0.0,0,0.0,11,45,3,3,6.0
22-23,Adam Webster,DEF,12.0,90,6,0.0,0.0,1,0.0,25,45,2,3,1.0
22-23,Adam Webster,DEF,13.0,90,1,0.0,0.0,0,0.0,14,45,5,3,2.0
22-23,Adam Webster,DEF,14.0,90,2,0.0,0.0,0,0.0,16,45,3,3,1.0
22-23,Adam Webster,DEF,15.0,90,1,0.0,0.0,0,0.0,13,45,2,3,0.0
22-23,Adam Webster,DEF,20.0,1,1,0.0398,0.0,0,0.0,2,45,4,3,0.0
22-23,Adam Webster,DEF,22.0,1,1,0.0,0.0,0,0.0,3,45,2,3,2.0
22-23,Adam Webster,DEF,23.0,75,2,0.23,0.01,0,0.0,8,45,2,3,6.0
22-23,Adam Webster,DEF,24.0,72,6,0.06,0.01,1,0.0,24,45,2,3,6.0
22-23,Adam Webster,DEF,26.0,90,6,0.0,0.01,1,0.0,25,45,2,3,1.0
22-23,Adam Webster,DEF,27.0,87,1,0.0,0.01,0,0.0,17,45,2,3,1.0
22-23,Adam Webster,DEF,27.0,1,1,0.0,0.0,0,0.0,3,45,2,3,0.0
22-23,Adam Webster,DEF,29.0,90,9,0.0,0.01,1,0.0,30,45,2,3,1.0
22-23,Adam Webster,DEF,30.0,21,1,0.0,0.01,0,0.0,4,45,4,3,2.0
22-23,Adam Webster,DEF,31.0,86,2,0.02,0.01,0,0.0,10,45,4,3,0.0
22-23,Adam Webster,DEF,34.0,90,6,0.0,0.01,1,0.0,28,45,2,3,5.0
22-23,Adam Webster,DEF,34.0,90,5,0.14,0.07,1,0.0,21,45,3,3,0.0
22-23,Adam Webster,DEF,35.0,45,0,0.0,0.03,0,0.0,12,45,2,3,0.0
22-23,Adama Traoré Diarra,MID,2.0,11,1,0.0,0.0,0,0.0,2,55,2,2,1.0
22-23,Adama Traoré Diarra,MID,3.0,19,1,0.0,0.0,0,0.0,4,55,4,2,0.0
22-23,Adama Traoré Diarra,MID,5.0,15,1,0.0,0.0,0,0.0,1,55,2,2,1.0
22-23,Adama Traoré Diarra,MID,6.0,8,1,0.0,0.0,0,0.0,2,55,2,2,0.0
22-23,Adama Traoré Diarra,MID,9.0,66,2,0.0,0.0,0,0.0,4,55,3,2,2.0
22-23,Adama Traoré Diarra,MID,10.0,71,2,0.0,0.0,0,0.0,9,55,4,2,6.0
22-23,Adama Traoré Diarra,MID,11.0,84,6,0.0,0.0,1,0.0,21,55,2,2,6.0
22-23,Adama Traoré Diarra,MID,12.0,57,6,0.0,0.0,0,0.0,22,55,2,2,2.0
22-23,Adama Traoré Diarra,MID,13.0,90,2,0.0,0.0,0,0.0,11,55,3,2,2.0
22-23,Adama Traoré Diarra,MID,14.0,82,2,0.0,0.0,0,0.0,0,55,3,2,1.0
22-23,Adama Traoré Diarra,MID,15.0,22,1,0.0,0.0,0,0.0,0,55,3,2,2.0
22-23,Adama Traoré Diarra,MID,16.0,90,2,0.033,0.31311,0,0.0,6,55,4,2,1.0
22-23,Adama Traoré Diarra,MID,17.0,30,1,0.0,0.02996,0,0.0,3,55,2,2,1.0
22-23,Adama Traoré Diarra,MID,18.0,45,1,0.0,0.00716,0,0.0,4,55,3,2,1.0
22-23,Adama Traoré Diarra,MID,19.0,45,1,0.0589,0.00733,0,0.0,0,55,2,2,1.0
22-23,Adama Traoré Diarra,MID,20.0,17,1,0.0387,0.15462,0,0.0,2,55,2,2,1.0
22-23,Adama Traoré Diarra,MID,21.0,45,1,0.0,0.00101,0,0.0,3,55,5,2,4.0
22-23,Adama Traoré Diarra,MID,22.0,48,4,0.05,0.37,0,0.0,24,54,4,2,4.0
22-23,Adama Traoré Diarra,MID,23.0,45,4,0.2,0.08,0,0.0,13,54,2,2,2.0
22-23,Adama Traoré Diarra,MID,24.0,76,2,0.04,0.74,0,0.0,13,54,2,2,1.0
22-23,Adama Traoré Diarra,MID,25.0,30,1,0.0,0.08,0,0.0,5,54,2,2,1.0
22-23,Adama Traoré Diarra,MID,25.0,45,1,0.0,0.0,0,0.0,8,54,4,2,6.0
22-23,Adama Traoré Diarra,MID,26.0,45,6,0.08,0.06,0,0.0,24,54,3,2,1.0
22-23,Adama Traoré Diarra,MID,27.0,45,1,0.0,0.02,0,0.0,5,54,4,2,1.0
22-23,Adama Traoré Diarra,MID,28.0,33,1,0.0,0.32,0,0.0,5,54,2,2,2.0
22-23,Adama Traoré Diarra,MID,29.0,64,2,0.07,0.01,0,0.0,7,54,2,2,1.0
22-23,Adama Traoré Diarra,MID,30.0,16,1,0.0,0.0,0,0.0,2,54,3,2,1.0
22-23,Adama Traoré Diarra,MID,31.0,17,1,0.05,0.0,0,0.0,2,54,3,2,0.0
22-23,Adama Traoré Diarra,MID,33.0,11,1,0.0,0.0,0,0.0,2,54,2,2,0.0
22-23,Adama Traoré Diarra,MID,34.0,7,0,0.0,0.0,0,0.0,-2,53,3,2,1.0
22-23,Adama Traoré Diarra,MID,35.0,6,1,0.0,0.0,0,0.0,0,53,2,2,1.0
22-23,Adama Traoré Diarra,MID,36.0,15,1,0.0,0.0,0,0.0,1,53,4,2,5.0
22-23,Adama Traoré Diarra,MID,37.0,87,5,0.1,0.02,1,0.0,11,53,2,2,2.0
22-23,Albert Sambi Lokonga,MID,1.0,1,1,0.0,0.0,0,0.0,3,45,2,4,0.0
22-23,Albert Sambi Lokonga,MID,3.0,2,1,0.0,0.0,0,0.0,3,45,2,4,0.0
22-23,Albert Sambi Lokonga,MID,5.0,90,2,0.0,0.0,0,0.0,15,44,2,4,2.0
22-23,Albert Sambi Lokonga,MID,6.0,73,2,0.0,0.0,0,0.0,15,44,4,4,1.0
22-23,Albert Sambi Lokonga,MID,8.0,12,1,0.0,0.0,0,0.0,4,44,3,4,1.0
22-23,Albert Sambi Lokonga,MID,9.0,17,1,0.0,0.0,0,0.0,3,44,3,4,0.0
22-23,Albert Sambi Lokonga,MID,22.0,18,1,0.0,0.01,0,0.0,11,43,4,2,0.0
22-23,Albert Sambi Lokonga,MID,23.0,34,0,0.0,0.0,0,0.0,1,43,3,2,3.0
22-23,Albert Sambi Lokonga,MID,24.0,62,3,0.0,0.03,1,0.0,16,43,3,2,3.0
22-23,Albert Sambi Lokonga,MID,25.0,90,3,0.0,0.02,1,0.0,15,43,4,2,2.0
22-23,Albert Sambi Lokonga,MID,26.0,80,2,0.0,0.01,0,0.0,18,43,2,2,2.0
22-23,Albert Sambi Lokonga,MID,27.0,90,2,0.0,0.01,0,0.0,16,43,5,2,2.0
22-23,Albert Sambi Lokonga,MID,27.0,90,2,0.0,0.02,0,0.0,7,43,3,2,0.0
22-23,Albert Sambi Lokonga,MID,31.0,5,1,0.0,0.0,0,0.0,2,43,2,2,0.0
22-23,Albert Sambi Lokonga,MID,33.0,64,1,0.17,0.01,0,0.0,0,43,2,2,0.0
22-23,Alex Iwobi,MID,1.0,90,2,0.0,0.0,0,0.0,16,55,3,2,2.0
22-23,Alex Iwobi,MID,2.0,90,2,0.0,0.0,0,0.0,14,55,2,2,1.0
22-23,Alex Iwobi,MID,3.0,90,1,0.0,0.0,0,0.0,13,55,2,2,2.0
22-23,Alex Iwobi,MID,4.0,90,2,0.0,0.0,0,0.0,13,55,3,2,5.0
22-23,Alex Iwobi,MID,5.0,90,5,0.0,0.0,0,0.0,19,55,2,2,3.0
22-23,Alex Iwobi,MID,6.0,90,3,0.0,0.0,1,0.0,11,55,4,2,6.0
22-23,Alex Iwobi,MID,8.0,90,6,0.0,0.0,1,0.0,22,55,2,2,5.0
22-23,Alex Iwobi,MID,9.0,90,5,0.0,0.0,0,0.0,20,55,2,2,9.0
22-23,Alex Iwobi,MID,10.0,90,9,0.0,0.0,0,0.0,33,55,3,2,2.0
22-23,Alex Iwobi,MID,11.0,90,2,0.0,0.0,0,0.0,7,55,4,2,2.0
22-23,Alex Iwobi,MID,12.0,72,2,0.0,0.0,0,0.0,2,55,4,2,12.0
22-23,Alex Iwobi,MID,13.0,90,12,0.0,0.0,1,0.0,35,55,2,2,3.0
22-23,Alex Iwobi,MID,14.0,90,3,0.0,0.0,1,0.0,10,55,2,2,2.0
22-23,Alex Iwobi,MID,15.0,90,2,0.0,0.0,0,0.0,16,56,3,2,2.0
22-23,Alex Iwobi,MID,16.0,90,2,0.0256,0.06735,0,0.0,15,56,2,2,2.0
22-23,Alex Iwobi,MID,17.0,90,2,0.3025,0.02618,0,0.0,7,56,2,2,2.0
22-23,Alex Iwobi,MID,18.0,90,2,0.0,0.01184,0,0.0,10,55,5,2,4.0
22-23,Alex Iwobi,MID,19.0,90,4,0.057,0.03145,0,0.0,17,55,3,2,2.0
22-23,Alex Iwobi,MID,20.0,90,2,0.0564,0.06641,0,0.0,11,54,2,2,2.0
22-23,Alex Iwobi,MID,21.0,90,2,0.1127,0.06526,0,0.0,10,54,3,2,3.0
22-23,Alex Iwobi,MID,22.0,90,3,0.05,0.36,1,0.0,14,54,4,2,2.0
22-23,Alex Iwobi,MID,23.0,90,2,0.02,0.13,0,0.0,13,54,4,2,7.0
22-23,Alex Iwobi,MID,24.0,90,7,0.0,0.08,1,0.0,25,54,2,2,2.0
22-23,Alex Iwobi,MID,25.0,69,2,0.28,0.38,0,0.0,13,54,2,2,2.0
22-23,Alex Iwobi,MID,25.0,90,2,0.0,0.04,0,0.0,9,54,4,2,2.0
22-23,Alex Iwobi,MID,26.0,88,2,0.03,0.11,0,0.0,11,54,2,2,3.0
22-23,Alex Iwobi,MID,27.0,90,3,0.2,0.02,1,0.0,9,53,3,2,2.0
22-23,Alex Iwobi,MID,28.0,90,2,0.01,0.01,0,0.0,9,53,4,2,2.0
22-23,Alex Iwobi,MID,29.0,90,2,0.04,0.18,0,0.0,14,51,3,2,2.0
22-23,Alex Iwobi,MID,30.0,90,2,0.06,0.05,0,0.0,11,51,4,2,2.0
22-23,Alex Iwobi,MID,31.0,90,2,0.03,0.08,0,0.0,17,50,2,2,3.0
22-23,Alex Iwobi,MID,32.0,90,3,0.04,0.25,1,0.0,11,50,2,2,2.0
22-23,Alex Iwobi,MID,33.0,90,2,0.04,0.09,0,0.0,13,50,3,2,10.0
22-23,Alex Iwobi,MID,34.0,90,10,0.33,0.26,0,0.0,30,49,3,2,5.0
22-23,Alex Iwobi,MID,35.0,90,5,0.0,0.14,0,0.0,25,49,3,2,2.0
22-23,Alex Iwobi,MID,36.0,90,2,0.0,0.06,0,0.0,12,49,5,2,2.0
22-23,Alex Iwobi,MID,37.0,90,2,0.14,0.2,0,0.0,14,49,2,2,3.0
22-23,Alexander Isak,FWD,5.0,63,7,0.0,0.0,0,0.0,26,70,4,3,2.0
22-23,Alexander Isak,FWD,6.0,90,2,0.0,0.0,1,0.0,-3,70,2,4,9.0
22-23,Alexander Isak,FWD,8.0,90,9,0.0,0.0,0,0.0,35,70,2,4,0.0
22-23,Alexander Isak,FWD,20.0,19,8,0.7523,0.01537,0,0.0,26,66,2,4,1.0
22-23,Alexander Isak,FWD,21.0,21,1,0.2295,0.00048,0,0.0,-2,66,2,3,0.0
22-23,Alexander Isak,FWD,23.0,90,2,0.08,0.03,0,0.0,3,66,2,3,2.0
22-23,Alexander Isak,FWD,24.0,63,2,0.31,0.02,0,0.0,5,66,4,4,1.0
22-23,Alexander Isak,FWD,26.0,28,1,0.13,0.02,0,0.0,7,66,5,3,7.0
22-23,Alexander Isak,FWD,27.0,67,7,0.4,0.04,1,0.0,26,66,2,4,13.0
22-23,Alexander Isak,FWD,28.0,90,13,1.51,0.01,0,0.0,54,66,2,3,2.0
22-23,Alexander Isak,FWD,29.0,79,2,0.4,0.29,1,0.0,7,67,3,4,6.0
22-23,Alexander Isak,FWD,29.0,26,6,0.07,0.01,0,0.0,27,67,3,3,5.0
22-23,Alexander Isak,FWD,30.0,86,5,0.31,0.03,0,0.0,20,67,3,3,2.0
